format,metric,year,number_of_records,value_actual
Cassette,Value (Adjusted),1996,1,3104.54609369
Cassette,Value (Adjusted),1997,1,2425.476099065
Cassette,Value (Adjusted),1998,1,2227.039106135
Cassette,Value (Adjusted),1999,1,1629.084460984
Cassette,Value (Adjusted),2000,1,929.391881533
Cassette,Value (Adjusted),2001,1,524.594883117
Cassette,Value (Adjusted),2002,1,298.148074486
Cassette,Value (Adjusted),2003,1,150.1984875
Cassette,Value (Adjusted),2004,1,32.07554738
Cassette,Value (Adjusted),2005,1,17.14852381
Cassette,Value (Adjusted),2006,1,4.69211756
Cassette,Value (Adjusted),2007,1,3.699811867
Cassette,Value (Adjusted),2008,1,1.068685991
Cassette,Value (Adjusted),2009,1,0
Cassette,Value (Adjusted),2010,1,0
Cassette,Value (Adjusted),2011,1,0
Cassette,Value (Adjusted),2012,1,0
Cassette,Value (Adjusted),2013,1,0
Cassette,Value (Adjusted),2014,1,0
Cassette,Value (Adjusted),2015,1,0
Cassette,Value (Adjusted),2016,1,0
Cassette,Value (Adjusted),2017,1,0
Cassette,Value (Adjusted),2018,1,0
Cassette,Value (Adjusted),2019,1,0
Cassette Single,Value (Adjusted),1973,1,0
Cassette Single,Value (Adjusted),1974,1,0
Cassette Single,Value (Adjusted),1975,1,0
Cassette Single,Value (Adjusted),1976,1,0
Cassette Single,Value (Adjusted),1977,1,0
Cassette Single,Value (Adjusted),1978,1,0
Cassette Single,Value (Adjusted),1979,1,0
Cassette Single,Value (Adjusted),1980,1,0
Cassette Single,Value (Adjusted),1981,1,0
Cassette Single,Value (Adjusted),1982,1,0
Cassette Single,Value (Adjusted),1983,1,0
Cassette Single,Value (Adjusted),1984,1,0
Cassette Single,Value (Adjusted),1985,1,0
Cassette Single,Value (Adjusted),1986,1,0
Cassette Single,Value (Adjusted),1987,1,32.182175176
Cassette Single,Value (Adjusted),1988,1,123.830482671
Cassette Single,Value (Adjusted),1989,1,401.21655
Cassette Single,Value (Adjusted),1990,1,504.467791125
Cassette Single,Value (Adjusted),1991,1,432.477039648
Cassette Single,Value (Adjusted),1992,1,544.47834355
Cassette Single,Value (Adjusted),1993,1,528.121899654
Cassette Single,Value (Adjusted),1994,1,474.224759109
Cassette Single,Value (Adjusted),1995,1,396.40255315
Cassette Single,Value (Adjusted),1996,1,308.450414914
Cassette Single,Value (Adjusted),1997,1,212.649280374
Cassette Single,Value (Adjusted),1998,1,148.061477301
Cassette Single,Value (Adjusted),1999,1,73.658679472
Cassette Single,Value (Adjusted),2000,1,6.829397213
Cassette Single,Value (Adjusted),2001,1,-7.650943535
Cassette Single,Value (Adjusted),2002,1,-2.273769872
Cassette Single,Value (Adjusted),2003,1,0
Cassette Single,Value (Adjusted),2004,1,0
Cassette Single,Value (Adjusted),2005,1,0
Cassette Single,Value (Adjusted),2006,1,0
Cassette Single,Value (Adjusted),2007,1,0
Cassette Single,Value (Adjusted),2008,1,0
Cassette Single,Value (Adjusted),2009,1,0
Cassette Single,Value (Adjusted),2010,1,0
Cassette Single,Value (Adjusted),2011,1,0
Cassette Single,Value (Adjusted),2012,1,0
Cassette Single,Value (Adjusted),2013,1,0
Cassette Single,Value (Adjusted),2014,1,0
Cassette Single,Value (Adjusted),2015,1,0
Cassette Single,Value (Adjusted),2016,1,0
Cassette Single,Value (Adjusted),2017,1,0
Cassette Single,Value (Adjusted),2018,1,0
Cassette Single,Value (Adjusted),2019,1,0
Download Album,Value (Adjusted),1973,1,0
Download Album,Value (Adjusted),1974,1,0
Download Album,Value (Adjusted),1975,1,0
Download Album,Value (Adjusted),1976,1,0
Download Album,Value (Adjusted),1977,1,0
Download Album,Value (Adjusted),1978,1,0
Download Album,Value (Adjusted),1979,1,0
Download Album,Value (Adjusted),1980,1,0
Download Album,Value (Adjusted),1981,1,0
Download Album,Value (Adjusted),1982,1,0
